,Unnamed: 0,Location_Easting_OSGR,Location_Northing_OSGR,Longitude,Latitude,Accident_Severity,Number_of_Vehicles,Number_of_Casualties,Date,Day_of_Week,Time,1st_Road_Class,1st_Road_Number,Road_Type,Speed_limit,Junction_Control,2nd_Road_Class,Pedestrian_Crossing-Human_Control,Pedestrian_Crossing-Physical_Facilities,Light_Conditions,Weather_Conditions,Road_Surface_Conditions,Special_Conditions_at_Site,Carriageway_Hazards,Urban_or_Rural_Area,Year,Month
694131,124120,625810.0,167220.0,1.242104,51.359084,3,1,1,12/05/2009,3,16,3,299,Dual carriageway,70,4.0,-1,2,1.0,4,4,2,0,5.0,2,2009,5
15684,15684,543820.0,178970.0,0.070235,51.491336,3,4,3,31/10/2005,2,19,3,206,Dual carriageway,30,1.0,3,2,1.0,3,3,1,0,5.0,1,2005,10
372500,372500,318340.0,175690.0,-3.177194,51.474208,2,2,1,18/11/2006,7,18,3,4160,Dual carriageway,30,3.0,6,2,2.0,3,5,1,0,5.0,1,2006,11
521346,521346,489380.0,160080.0,-0.718422,51.332743,3,2,2,26/11/2007,2,14,6,3489,Dual carriageway,30,1.0,6,3,4.0,4,3,2,0,5.0,1,2007,11
140381,140381,445150.0,113340.0,-1.359088,50.917699,3,2,1,14/10/2005,6,8,6,0,Dual carriageway,30,1.0,6,2,1.0,4,3,2,0,5.0,1,2005,10
111209,111209,541340.0,261420.0,0.068247,52.232801,3,1,1,26/02/2005,7,20,1,11,Dual carriageway,70,4.0,-1,2,1.0,3,8,5,0,5.0,2,2005,2
136270,136270,502050.0,177610.0,-0.531574,51.488187,3,2,1,16/12/2005,6,11,3,4,Dual carriageway,70,4.0,-1,2,1.0,4,4,2,0,5.0,2,2005,12
801177,231166,389730.0,324640.0,-2.153845,52.819174,3,2,1,16/01/2010,7,18,1,6,Dual carriageway,70,4.0,-1,2,1.0,1,2,1,1,5.0,2,2010,1
949788,379777,403500.0,287820.0,-1.949895,52.488256,3,1,1,22/10/2011,7,4,3,457,Dual carriageway,40,4.0,-1,2,5.0,3,3,1,0,5.0,1,2011,10
953547,383536,420500.0,303430.0,-1.698575,52.628217,3,2,1,10/01/2011,2,8,3,51,Dual carriageway,40,3.0,3,2,1.0,4,3,1,0,5.0,2,2011,1
588448,18437,526660.0,175950.0,-0.177883,51.468297,3,2,1,26/03/2009,5,7,3,3205,Dual carriageway,30,4.0,-1,2,1.0,4,5,1,0,5.0,1,2009,3
316388,316388,574090.0,191040.0,0.511812,51.591258,3,1,1,24/02/2006,6,7,3,127,Dual carriageway,70,4.0,-1,2,1.0,4,3,2,0,5.0,2,2006,2
889278,319267,526750.0,181700.0,-0.174524,51.519952,3,3,2,26/03/2011,7,6,3,40,Dual carriageway,30,4.0,-1,2,1.0,4,3,2,0,5.0,1,2011,3
62567,62567,431020.0,424690.0,-1.531429,53.717701,3,3,1,05/03/2005,7,13,1,1,Dual carriageway,70,1.0,1,2,1.0,4,3,1,0,5.0,2,2005,3
803749,233738,408650.0,334730.0,-1.87283,52.90991,3,2,2,28/10/2010,5,11,3,50,Dual carriageway,40,1.0,3,2,3.0,4,3,2,0,5.0,1,2010,10
